name,price,status,shipping,freereturns,itemssold
Apple MacBook Pro 15 Laptop / QUAD CORE i7 / SSD / Retina / MacOSX-2020,59900,Pre-Owned,0,True,18
,,False,0,False,0
Apple MacBook Pro 15 inch Laptop | 3.3GHz QUAD CORE i7 TURBO | MacOS | 1TB SSD!,59900,Refurbished,0,True,0
"MACBOOK PRO 13"" | CORE i5 | 1TB SSD | 16GB RAM | WARRANTY | OS-2019 CATALINA ! !",33612,Refurbished,0,True,0
2015 Apple MacBook Pro 15 inch Retina / Core i7 3.4Ghz / 16GB RAM / 1TB SSD,84900,Refurbished,0,True,95
APPLE MACBOOK AIR 11 INCH LAPTOP | TURBO BOOST i7 | 3 YEAR WARRANTY | 256GB SSD,42900,Refurbished,0,True,0
"Apple MacBook Air 13"" 128GB SSD 2.8ghz i5 TURBO BOOST OSx-2019 - 3 YEAR WARRANTY",34900,Refurbished,0,True,12
"Apple Macbook Pro 13.3"" MH12lL/a - I5-2.9Ghz 8GB Ram 256GB SSD 2016 - Touch Bar",54900,Refurbished,0,True,56
Apple MacBook Pro 15inch Retina Laptop OS2020 - 16GB RAM 1TB SSD - Quad Core i7,76500,Pre-Owned,0,True,0
New ListingMacBook Air 13” Space Gray 2020 3.2GHz M1 16GB-RAM 1TB-SSD Excellent Condition,85000,Pre-Owned,3450,False,0
New ListingEarly 2014 MacBook Air. 1.4GHz. Dual-Core Intel i5. 4gb Ram. 120gb storage. ,22500,Pre-Owned,1500,False,0
Apple MacBook Pro Core I5 4gb RAM 500gb Storage A1278 Mid 2012,16000,Pre-Owned,0,False,0
"Apple MacBook Pro MD104LL/A Core i7 2.6 15"" 16GB 750GB LOADED! ",23935,Pre-Owned,0,True,0
New ListingApple MacBook Air 2020 13-inch M1 7 core GPU 256GB SSD 16GB RAM Space Gray,36500,Pre-Owned,1355,False,0
"New ListingApple Mid 2015 MacBook Pro Retina 15"" 1TB SSD, i7 2.8 GHz 16GB",14800,Pre-Owned,1144,False,0
"12"" Apple MacBook Retina 2016-2017 Silver 1.1GHz m3 8GB RAM 256GB SSD MLHA2LL/A",56500,Pre-Owned,0,True,0
Apple MacBook Pro 15 inch Retina / QUAD Core i7 3.6Ghz / 1TB SSD / WARRANTY,68500,Refurbished,0,True,0
APPLE MACBOOK AIR 13 INCH LAPTOP / TURBO BOOST / 3 YEAR WARRANTY / 256GB SSD,37900,Pre-Owned,0,True,0
"Apple 15"" MacBook Pro 2012 - CERTIFIED REFURBISHED - Core i7 2.3GHz 500GB Wrnty",49900,Certified - Refurbished,0,True,0
"New ListingMacbook Pro 13"" M1 1TB/16gb RAM (Space Gray)",160000,Pre-Owned,1990,False,0
Apple MacBook Pro 13”-i5- 2.5GHz 8GB-128GBSD macOS Big Sur 2021,29000,Pre-Owned,0,False,14
"New ListingUSED Apple MacBook Pro 16"" (512GB SSD, Intel Core i7 9th Gen., 2.60 GHz, 16GB)",90000,Pre-Owned,6000,False,0
"New ListingApple M1 MacBook Air 512GB, 16GB RAM, Space Gray - Japanese Keyboard",120000,Pre-Owned,2750,False,0
New Listing2020 13 Inch Apple MacBook Pro Apple M1 512GB SSD 8GB RAM,70000,Pre-Owned,2955,False,0
"Apple 2019 MacBook Pro 15.4"" (256GB SSD, Core i7 9th Gen., 2.60 GHz, 16GB)",99900,Pre-Owned,1850,False,0
New Listingmacbook pro 13 inch mid 2012 SSD 500GB ,10600,Pre-Owned,3110,False,0
"New ListingApple MacBook Air 13in (256GB SSD, M1, 8GB) Laptop - Silver - MGN93LL/A...",70000,Pre-Owned,2000,False,0
MACBOOK PRO 13 | RETINA | CORE i7 | 1TB SSD | 16GB RAM | WARRANTY | BIG SUR,29860,Refurbished,0,True,0
New ListingApple MacBook (12-inch Mid 2017) 1.4 GHz Intel core i7 512GB SSD 16GB RAM,99900,Refurbished,895,False,0
"New ListingApple MacBook Air 13in (256GB SSD, M1, 8GB) Laptop - Rose Gold",80000,Brand New,3520,False,0
"NEW Apple MacBook Pro 13.3"" Retina (2.3GHz i5, 8GB, 128GB SSD) Silver MPXR2LL/A",61999,Open Box,0,True,0
Apple MacBook Pro 17 inch  | INTEL CORE i5 | 8GB RAM | 1TB SSD HYB | WARRANTY!,59900,Pre-Owned,0,True,18
